,description,price,title,url
0,Лёгкий путь в Machine Learning и Data Science. Начни внедрять Искусственный Интеллект без кода и математики и зарабатывай уже во время обучения!,,Специалист по внедрению Искусственного Интеллекта,https://gb.ru/s/ai-integration-specialist
1,"Вы изучите технологии автоматизированного тестирования, научитесь работать с различными инструментами и фреймворками, а также получите опыт работы на реальных проектах",от 3201 ₽,Специалист по автоматизированному тестированию,https://gb.ru/geek_university/developer/qa-engineer/auto-gb
2,"Вы научитесь работать с 1C с нуля, практика на реальных задачах в «1С:Комплексная автоматизация» и «1С:Бухгалтерия»",от 3201 ₽,1C-разработчик: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/1c-spec-gb
3,"Вы изучите гибкие методологии управления проектами, научитесь определять цели проекта, оценивать риски и планировать бюджет. Узнаете, как лидировать команду и вести переговоры.",5998,Менеджер проектов в ИТ,https://gb.ru/geek_university/developer/project-manager-gb
4,Выберите профессию в программировании в процессе обучения и станьте специалистом уровня Junior с зарплатой от 80 000 ₽,от 3577 ₽,Программист с нуля до Junior,https://gb.ru/geek_university/developer/programmer
5,"Научитесь создавать игры на движке Unreal Engine, писать код на C++ и работать с Blueprints. Теория и практика на реальных задачах. Портфолио и трудоустройство.",от 3750 ₽,Разработчик Игр на Unreal Engine,https://gb.ru/geek_university/developer/programmer/unrealengine-gb
6,"Вы научитесь оптимизировать сайты так, чтобы их можно было «загуглить»: научитесь анализировать, проводить аудиты сайта и разрабатывать стратегию его продвижения",от 2550 ₽,SEO-специалист,https://gb.ru/geek_university/marketing/seo
7,"Научитесь использовать язык программирования Python для создания сайтов, приложений, чат-ботов, нейросетей и даже для научных исследований",от 4049 ₽,Python-разработчик: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/python-gb
8,"Идеальная программа для тех, кто хочет стать дизайнером, но пока не решил, каким именно. Обучение с нуля, выбор профессии в процессе обучения",от 3772 ₽,Дизайнер с нуля до Junior,https://gb.ru/geek_university/design
9,"Научитесь пространственному мышлению, созданию визуальной концепции эргономичного, эстетически гармоничного и функционального дизайна",от 3772 ₽,Дизайнер интерьеров,https://gb.ru/geek_university/design/interior-spec-gb
10,Программа обучения с углубленной теорией и дополнительной практикой. Станете Python-разработчиком уровня Middle — уверенный специалист с зарплатой от 150 000 ₽,от 5223 ₽,Python-разработчик с нуля до Middle,https://gb.ru/geek_university/developer/programmer/python/master
11,"Ускоренная программа обучения, где вы с нуля научитесь продвигать товары или услуги в интернете, развивать бренд компании, вести аккаунты в социальных сетях",7 674,SMM-менеджер: быстрый старт в профессии,https://gb.ru/geek_university/marketing/smm-management-spec
12,"Вы освоите игровую разработку с нуля: научитесь программировать на С#, разрабатывать 2D- и 3D-игры на Unity, создавать персонажей и игровые сцены в Blender",от 4256 ₽,Разработчик Игр на Unity,https://gb.ru/geek_university/developer/programmer/unity-gb
13,Расширенная программа обучения с углубленной теорией и дополнительной практикой. Станете графическим дизайнером уровня Junior — младший специалист с зарплатой от 80 000 ₽,4771,Графический дизайнер с нуля до Junior,https://gb.ru/geek_university/design/graphic-gb
14,"Вы с нуля освоите язык программирования Java: научитесь создавать сетевые чаты, приложения, мобильные игры и другие сервисы для современных платформ",6980,Java-разработчик: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/java-gb
15,"Станьте специалистом, который решает бизнес-задачи с помощью сбора и обработки данных, научитесь работать с Python и использовать алгоритмы машинного обучения",от 4049 ₽,Data Scientist: быстрый старт в профессии,https://gb.ru/geek_university/developer/analyst/data-science-gb
16,Углубленная теория и больше практики. в конце обучения станете тестировщиком уровня Middle — уверенный специалист с зарплатой от 150 000 ₽,4279,Тестировщик с нуля до Middle,https://gb.ru/geek_university/developer/qa-engineer/master
17,"Научитесь управлять созданием продукта от идеи до запуска: проводить исследования, работать с гипотезами, создавать MVP, выводить продукт на рынок.",5998,Менеджер продуктов в ИТ,https://gb.ru/geek_university/developer/product-manager-gb
18,Выберите профессию в цифровом дизайне в процессе обучения и станьте специалистом уровня Junior с зарплатой от 80 000 ₽,от 3577 ₽,Цифровой дизайнер с нуля до Junior,https://gb.ru/geek_university/design/digital
19,"Ускоренная программа обучения, где вы с нуля научитесь продвигать товары или услуги в интернете, развивать бренд компании, вести аккаунты в социальных сетях",от 1742 ₽,SMM-менеджер: быстрый старт в профессии,https://gb.ru/geek_university/marketing/smm-management-spec-gb
20,"Вы научитесь тестировать различные программы, приложения и сервисы, чтобы убедиться, что они работают корректно, выявлять возможные ошибки и уязвимости в защите",от 2516 ₽,Тестировщик ПО,https://gb.ru/geek_university/it-specialist/qa
21,Изучайте программирование на C++ с нуля. Курс включает теорию и практику на реальных задачах. Быстрое обучение и гарантированное трудоустройство.,от 3060 ₽,Разработчик на C++: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/cpp-spec-gb
22,"Вы научитесь оценивать финансовое состояние компании, управлять денежными потоками, узнаете, как помогать бизнесу улучшать производительность и эффективность работы",от 4049 ₽,Финансовый аналитик,https://gb.ru/geek_university/developer/analyst/finance
23,"Идеальная программа для тех, кто хочет попасть в ИТ, но пока не решил, какую профессию выбрать. Обучение с нуля, выбор профессии в процессе обучения",от 3772 ₽,Разработчик: старт в ИТ с нуля до Junior,https://gb.ru/geek_university/developer
24,"Научитесь создавать сайты с нуля: вы станете универсальным специалистом, который может работать как над внешним видом сайта, так и над его серверной частью",от 3460 ₽,Веб-разработчик: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/web
25,"Ускоренный курс, где вы с нуля за короткий срок научитесь настраивать рекламу в социальных сетях, искать целевую аудиторию, продумывать стратегию продвижения товаров и услуг",от 2682 ₽,Таргетолог: быстрый старт в профессии,https://gb.ru/geek_university/marketing/targeting-spec
26,"Освойте программы для профессионального монтажа, обработку и создание эффектов. Практикуйтесь в разных жанрах и соберите портфолио из 10+ работ.",от 3054 ₽,Режиссер монтажа,https://gb.ru/geek_university/multimedia/film-editor-gb
27,Расширенная программа обучения с углубленной теорией и дополнительной практикой. Станете таргетологом уровня Junior — младший специалист с зарплатой от 80 000 ₽,от 3226 ₽,Таргетолог с нуля до Junior,https://gb.ru/geek_university/marketing/targeting
28,Расширенная программа обучения с углубленной теорией и дополнительной практикой. Станете Java-разработчиком уровня Middle — уверенный специалист с зарплатой от 150 000 ₽,5223,Java-разработчик с нуля до Middle,https://gb.ru/geek_university/developer/programmer/java/master
29,Расширенная программа обучения с углубленной теорией и дополнительной практикой. Станете DevOps-инженером уровня Middle — уверенный специалист с зарплатой от 150 000 ₽,от 5223 ₽,DevOps-инженер с нуля до Middle,https://gb.ru/geek_university/developer/architecture/devops
30,Научитесь создавать красивые и функциональные сайты с нуля. Обучение на практике с реальными проектами для портфолио. Гарантия трудоустройства после обучения,от 3772 ₽,Веб-дизайнер,https://gb.ru/geek_university/design/web-spec-gb
31,"Специалист по контекстной рекламе продвигает товары и услуги в интернете. Он запускает рекламные кампании, задает и оптимизирует бюджет, анализирует результаты. Помогает создавать крутые рекламные креативы, цепляющие тексты и вовлекающие лендинги. Такой специалист может в разы увеличить прибыль бизнеса, поэтому профессия становится на рынке все более востребованной.",от 2121 ₽,Специалист по контекстной рекламе: быстрый старт в профессии,https://gb.ru/geek_university/marketing/context-spec
32,"Научитесь создавать фирменный стиль для компаний: логотипы, упаковку, иллюстрации и другую графику, которая сможет привлекать и удерживать внимание клиентов",10 362,Графический дизайнер: быстрый старт в профессии,https://gb.ru/geek_university/design/graphic-design-spec
33,"Научитесь создавать сайты, веб- и мобильные приложения с помощью языка C# от Microsoft",от 3717,Разработчик на C#: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/csharp
34,Программа с большим количеством практики. Станете специалистом по информационной безопасности уровня Junior — младший специалист с зарплатой от 80 000 ₽,от 3577 ₽,Специалист по информационной безопасности с нуля до Junior,https://gb.ru/geek_university/developer/qa-engineer/security
35,"Научитесь проектировать, собирать и программировать технику, роботов и системы, которые могут реагировать на внешние факторы и управляться через интернет",от 3201 ₽,Разработчик умных устройств,https://gb.ru/geek_university/developer/programmer/internet-of-things
36,"Вы научитесь собирать и анализировать данные о работе бизнеса, на основе полученной информации предлагать решения, чтобы улучшать и развивать продукты, и услуги компании",от 4049 ₽,Бизнес-аналитик: быстрый старт в профессии,https://gb.ru/geek_university/developer/analyst/business-gb
37,"Станьте аналитиком данных с нуля за короткий срок. Вы на практике узнаете, как собирать, обрабатывать и анализировать информацию, формировать отчеты и гипотезы",от 3239 ₽,Аналитик данных,https://gb.ru/geek_university/it-specialist/analyst
38,,3772,UI/UX-дизайнер,https://gb.ru/geek_university/design/interface-spec
39,"Вы изучите методы и инструменты DevOps, научитесь автоматизировать процессы разработки и внедрения программного обеспечения на реальных задачах",от 2974 ₽,DevOps-инженер: быстрый старт в профессии,https://gb.ru/geek_university/developer/architecture/devops-spec-gb
40,Профильный курс с углубленной теорией и большим объемом практики. Станете специалистом по Data Science уровня Middle — уверенный специалист с зарплатой от 150 000 ₽,от 4279 ₽,Data Scientist в медицине: с нуля до Middle,https://gb.ru/geek_university/developer/analyst/data-science-medicine
41,"Научитесь создавать, программировать и настраивать пользовательские интерфейсы сайтов с помощью HTML, CSS, JavaScript и фреймворков для работы с веб-приложениями",6980,Frontend-разработчик: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/frontend-gb
42,"Научитесь создавать 3D-макеты садов и парков, формировать эскизы и чертежи городских общественных пространств, работать с освещением и коммуникациями",от 3772 ₽,Ландшафтный дизайнер: быстрый старт в профессии,https://gb.ru/geek_university/design/landscape-spec-gb
43,"Освойте все необходимые программы для работы с 3D, пополните портфолио и выберите, что вам больше нравится создавать: персонажей или окружение.",от 5538 ₽,3D-дженералист,https://gb.ru/geek_university/games/3d-generalist-gb
44,Выберите профессию в аналитике в процессе обучения и станьте специалистом уровня Junior с зарплатой от 80 000 ₽,от 4525 ₽,Аналитик с нуля до Junior,https://gb.ru/geek_university/developer/analyst
45,Профильный курс по применению Data Science в медицине. Вы на практике научитесь анализировать медицинские данные и создавать модели машинного обучения для поиска болезней,от 3772 ₽,Data Scientist в медицине: с нуля до Junior,https://gb.ru/geek_university/developer/analyst/data-science-medicine-spec
46,"Вы научитесь формировать имидж компании, продуктов и услуг так, чтобы они стали узнаваемыми и востребованными у клиентов",от 2550 ₽,Бренд-менеджер,https://gb.ru/geek_university/marketing/brand
47,"Научитесь создавать эффектные кадры, обрабатывать снимки, работать с командой. Учитесь у экспертов индустрии и соберите портфолио из своих работ.",от 2668 ₽,Фотограф,https://gb.ru/geek_university/design/photographer-gb
48,"Вы с нуля изучите методы анализа бизнес-процессов, сможете разрабатывать и оптимизировать системы управления, а также проводить анализ данных и создавать отчеты",от 3707 ₽,Системный и бизнес аналитик: 2 в 1,https://gb.ru/geek_university/developer/analyst/system-business
49,Углубленная теория и больше практики. в конце обучения станете программистом на C++ уровня Junior — младший специалист с зарплатой от 80 000 ₽,от 3577 ₽,Разработчик на C++ с нуля до Junior,https://gb.ru/geek_university/developer/programmer/cpp
50,"Станьте универсальным специалистом, который умеет создавать прототипы в дизайне, верстать и программировать сайты или приложения с нуля самостоятельно",от 4771 ₽,Fullstack-дизайнер,https://gb.ru/geek_university/design/fullstack-spec
51,"Научитесь создавать анимационную 2D- и 3D-графику, которую можно применить в рекламе, трейлерах к фильмам и на веб-сайтах",от 3772 ₽,Моушн-дизайнер,https://gb.ru/geek_university/design/motion-spec-gb
52,Выберите профессию в интернет маркетинге в процессе обучения и станьте специалистом уровня Junior с зарплатой от 80 000 ₽,от 3226 ₽,Интернет-маркетолог,https://gb.ru/geek_university/marketing/internet-gb
53,Научитесь с нуля создавать и управлять системами с использованием искусственного интеллекта,8226,Разработчик искусственного интеллекта,https://gb.ru/geek_university/developer/programmer/ai-spec
54,"Научитесь делать любой продукт популярным: узнаете как доносить его ценность до аудитории, как и где взаимодействовать с потребителями, и как стимулировать продажи",от 2550 ₽,Продуктовый маркетолог с нуля до Junior,https://gb.ru/geek_university/marketing/product
55,"Ускоренная программа обучения на маркетолога, выбор профессии в процессе обучения и гарантия трудоустройства после обучения",от 2121 ₽,Маркетолог: быстрый старт в профессии,https://gb.ru/geek_university/marketing/digital/specialist
56,"Вы с нуля научитесь настраивать и обслуживать сетевые устройства, работать с сетевыми протоколами, настраивать маршрутизацию и все это на практике",от 3577 ₽,Сетевой инженер,https://gb.ru/geek_university/developer/architecture/network-engineer
57,"Станьте востребованным разработчиком приложений для устройств на iOS. Вы изучите основы программирования и основные концепции компьютерных наук, цифровые технологии, операционные системы, программное обеспечение, базы данных, системы аналитики, языки программирования и многое другое. Познакомитесь с тестированием и системным анализом. На программе сможете сделать осознанный выбор специализации и технологий, прокачаться в выбранном направлении.",6980,iOS-разработчик,https://gb.ru/geek_university/developer/programmer/ios
58,"Вы научитесь создавать внутреннюю систему сайтов: выстраивать обмен данными, работать с базами данных, обеспечивать бесперебойную и производительную работу системы",6980,Backend-разработчик,https://gb.ru/geek_university/developer/programmer/backend
59,"Вы изучите методы и инструменты системного анализа, научитесь определять требования к системам, анализировать их и создавать технические задания",от 4049 ₽,Системный аналитик: быстрый старт в профессии,https://gb.ru/geek_university/developer/analyst/systems
60,"Станьте универсальным специалистом, который может создать сайт с нуля самостоятельно — от внешнего пользовательского интерфейса до разработки внутренней системы сайта",от 3577 ₽,Fullstack-разработчик: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/fullstack
61,"Научитесь создавать захватывающие истории, живых персонажей и убедительный синопсис. Начните карьеру в кино, игровой индустрии или другом продакшене",от 3320 ₽,Сценарист,https://gb.ru/geek_university/multimedia/screenwriter-gb
62,"Вы изучите принципы работы контекстной и таргетированной рекламы, научитесь продвигать любые товары и услуги.",от 2121 ₽,Трафик-менеджер,https://gb.ru/geek_university/marketing/traffic-spec
63,Программа с углубленной теорией и дополнительной практикой. Станете Frontend-разработчиком уровня Middle — уверенный специалист с зарплатой от 150 000 ₽,от 5223 ₽,Frontend-разработчик с нуля до Middle,https://gb.ru/geek_university/developer/programmer/frontend/master
64,"Станьте тем, кто создает игровые миры. Научитесь работать с графикой, продумывать сюжет и механики, удерживать интерес игрока и монтентизировать игры.",от 3170 ₽,Геймдизайнер с нуля до Pro,https://gb.ru/geek_university/games/game-designer-gb
65,Расширенная программа с углубленной теорией и дополнительной практикой. Станете менеджером маркетплейсов уровня Junior — младший специалист с зарплатой от 80 000 ₽,от 2550 ₽,Менеджер маркетплейсов с нуля до Junior,https://gb.ru/geek_university/marketing/e-commerce
66,Расширенная программа обучения с углубленной теорией и дополнительной практикой. Станете UX-дизайнером уровня Middle — уверенный специалист с зарплатой от 150 000 ₽,от 3772 ₽,UX/UI-дизайнер с нуля до Middle,https://gb.ru/geek_university/design/interface
67,"Научитесь продвигать и продавать товары в интернет-магазинах. на практике изучите работу с Ozon, Wildberries и Яндекс.Маркетом, и сможете гарантированно трудоустроиться",2121,Менеджер маркетплейсов: быстрый старт в профессии,https://gb.ru/geek_university/marketing/e-commerce-spec-gb
68,"Максимальное количество практики, дополнительные знания из других областей. Станете графическим дизайнером уровня Middle — уверенный специалист с зарплатой от 150 000 ₽",от 5223 ₽,Графический дизайнер с нуля до Middle,https://gb.ru/geek_university/design/graphic/master
69,"Изучите основы иллюстрации и выберите направление, в котором хотите развиваться как специалист: книжная или рекламная иллюстрация.",от 3589 ₽,Коммерческий иллюстратор,https://gb.ru/geek_university/design/illustrator-gb
70,Выберите профессию в тестировании в процессе обучения и станьте специалистом уровня Junior с зарплатой от 80 000 ₽,3707,Тестировщик с нуля до Junior,https://gb.ru/geek_university/developer/qa-engineer
71,Расширенная программа обучения с углубленной теорией и дополнительной практикой. Станете SMM-менеджером уровня Junior — младший специалист с зарплатой от 80 000 ₽,от 2550 ₽,SMM-менеджер с нуля до Junior,https://gb.ru/geek_university/marketing/smm-management
72,Вы научитесь с нуля разрабатывать архитектуру и создавать пользовательские интерфейсы мобильных приложений на базе Android,от 4049 ₽,Android-разработчик: быстрый старт в профессии,https://gb.ru/geek_university/developer/programmer/android-spec
73,"Вы изучите основы работы с BI-системами, научитесь создавать отчеты и дашборды, а также проводить анализ данных для принятия важных бизнес-решений",от 3005 ₽,BI-аналитик,https://gb.ru/geek_university/developer/analyst/bi
74,Расширенная программа обучения с углубленной теорией и дополнительной практикой. Станете 1C-разработчиком уровня Junior — младший специалист с зарплатой от 80 000 ₽,от 3114 ₽,1С-разработчик с нуля до Junior,https://gb.ru/geek_university/developer/programmer/1c-developer
75,"Выберите в процессе учебы, кем именно вы хотите стать в сфере Data Science: программистом, аналитиком, тестировщиком, менеджером по проектам или продуктам",4129,ИТ-специалист в сфере Data Science,https://gb.ru/geek_university/engineer/datascience
76,"Научитесь продвигать компании, продукты и услуги с помощью текста, сможете писать в различных жанрах и стилях, а также готовить контент-план",от 2550 ₽,Редактор,https://gb.ru/geek_university/marketing/copywriter
77,"Станьте тем, кто создает модели для кино и игр. Обучайтесь у экспертов индустрии, соберите 20 проектов для портфолио и начните творческую карьеру",от 4579 ₽,3D-художник,https://gb.ru/geek_university/design/3d-artist-gb
78,Углубленная теория и больше практики. в конце обучения станете цифровым дизайнером уровня Middle — уверенный специалист с зарплатой от 150 000 ₽,от 4129 ₽,Цифровой дизайнер с нуля до Middle,https://gb.ru/geek_university/design/digital/master
79,"Станьте режиссером в игровой индустрии: научитесь на практике объединять сюжет, графику, игровые механики и правила, работать с командами художников и разработчиков",13 777,Геймдизайнер,https://gb.ru/geek_university/design/game-design-spec
80,"Научитесь создавать трехмерные модели с нуля, на практике изучите работу программ для создания и рендеринга 3D объектов, научитесь работать в графических редакторах",от 4525 ₽,Специалист по 3D-моделированию,https://gb.ru/geek_university/design/3d-spec
81,"Научитесь создавать концепции, которые передают настроение и атмосферу. Изучите инструменты, наработайте портфолио и начните карьеру в играх и кино",от 4511 ₽,Концепт-художник,https://gb.ru/geek_university/design/concept-artist-gb
82,"Вы изучите инструменты селлера, получите пошаговый алгоритм для запуска продаж на маркетплейсе и стратегию развития бизнеса на год вперед",3 028,Как продавать на Wildberries,https://gb.ru/geek_university/marketing/wildberries-sales
83,Расширенная программа обучения с углубленной теорией и дополнительной практикой. Станете Android-разработчиком уровня Junior — младший специалист с зарплатой от 80 000 ₽,от 4525 ₽,Android-разработчик с нуля до Junior,https://gb.ru/geek_university/developer/programmer/android
84,"Вы с нуля научитесь работать с финансами и отчетностью. Изучите «1С:Бухгалтерия 8, редакция 3.0» и «1С:ЗУП», сможете устроиться в компанию или работать на аутсорсе",6 748,Бухгалтер,https://gb.ru/geek_university/management/accountant
